seriali	SurveyYear	DayofWeek	Age	Sex	Country	BACONANDHAM	BEEFVEALANDDISHES	BEERLAGERCIDERPERRY	BISCUITS	BROWNGRANARYANDWHEATGERMBREAD	BUNSCAKESPASTRIESFRUITPIES	BURGERSANDKEBABS	BUTTER	CHEESE	CHICKENANDTURKEYDISHES	CHIPSFRIEDROASTPOTATOESANDPOTATOPRODUCTS	CHOCOLATECONFECTIONERY	COATEDCHICKEN	COMMERCIALTODDLERSFOODSANDDRINKS	CRISPSANDSAVOURYSNACKS	EGGSANDEGGDISHES	FRUIT	FRUITJUICE	HIGHFIBREBREAKFASTCEREALS	ICECREAM	LAMBANDDISHES	LIVERDISHES	LOWFATSPREAD	MEATPIESANDPASTRIES	NUTSANDSEEDS	OILYFISH	ONEPERCENTMILK	OTHERBREAD	OTHERBREAKFASTCEREALS	OTHERMARGARINEFATSANDOILS	OTHERMEATANDMEATPRODUCTS	OTHERMILKANDCREAM	OTHERPOTATOESPOTATOSALADSDISHES	OTHERWHITEFISHSHELLFISHFISHDISHES	PASTARICEANDOTHERCEREALS	PORKANDDISHES	PUDDINGS	PUFAMARGARINEOILS	REDUCEDFATSPREAD	SALADANDOTHERRAWVEGETABLES	SAUSAGES	SEMISKIMMEDMILK	SKIMMEDMILK	SMOOTHIES100FRUITANDORJUICE	SOFTDRINKSLOWCALORIE	SOFTDRINKSNOTLOWCALORIE	SPIRITSANDLIQUEURS	SUGARCONFECTIONERY	SUGARSPRESERVESANDSWEETSPREADS	TEACOFFEEANDWATER	VEGETABLESNOTRAW	WHITEBREAD	WHITEFISHCOATEDORFRIED	WHOLEMEALBREAD	WHOLEMILK	WINE	YOGURTFROMAGEFRAISANDDAIRYDESSERTS	DRYWEIGHTBEVERAGES	CHEDDARCHEESE	COTTAGECHEESE	LOWFATSPREADNOTPOLYUNSATURATED	OTHERCHEESE	POLYUNSATURATEDLOWFATSPREAD	REDUCEDFATSPREADNOTPOLYUNSATURATED	REDUCEDFATSPREADPOLYUNSATURATED	SAVOURYSAUCESPICKLESGRAVIESCONDIMENTS	SOUPHOMEMADEANDRETAIL	SpecialDiet	Supps	UsualFoodQuantity	LessFoodReason	MoreFoodReason	UsualDrinkQuantity	LessDrinkReason	diarymth	MoreDrinkReason
900101061	9	Friday	70	2	England	0	164.97	0	17.8	0	29.5	0	0	0	0	0	0	0	0	0	62.97	374.9	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	327	0	0	0	0	0	114.7	0	0	32	0	56	0	0	0	0	1360	0	0	0	0	8	0	80	1	0	0	0	0	0	0	0	42	0	No	No	More Than Usual	 	Very hungry/thirsty	Less Than Usual	Change of routine	4	 
900101061	9	Saturday	70	2	England	0	170	0	5.7	0	89.65	0	0	0	240	0	0	0	0	24	0	151.8	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	150	175	0	0	0	0	0	0	93	8	0	330	0	0	0	0	1439	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Less Than Usual	Change of routine	4	 
900101111	9	Friday	69	1	England	11	116.2	1714	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	30	85	0	90	0	0	0	0	0	0	20.5	1130	0	60	0	169.4	0	125	0	0	0	0	0	0	0	30	0	0	0	No	Data missing	Less Than Usual	Travelling	 	Less Than Usual	Travelling	4	 
900101111	9	Saturday	69	1	England	28	0	2273	0	0	0	0	0	90	260	0	0	0	0	0	0	22.5	0	0	0	0	0	0	0	0	0	0	0	0	9	18	0	80	0	0	0	0	0	29	0	0	120	0	0	0	0	0	0	12.5	1380	0	309.05	0	0	0	0	0	0	90	0	0	0	0	29	0	76	0	No	No	Usual Amount	 	 	More Than Usual	 	4	Other - Specify
900101111	9	Sunday	69	1	England	52.6	0	1144	0	0	0	0	0	0	0	255	0	0	0	0	62	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	35.24	48	0	0	0	0	0	0	5	852	288	0	0	74.8	0	0	0	0	0	0	0	0	0	14	0	49	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101111	9	Monday	69	1	England	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	37.5	0	0	0	0	0	0	0	0	0	0	3	189	0	0	0	0	0	0	0	15	120.2	0	318	0	0	0	0	0	0	22.5	1932	0	0	0	132	0	0	0	0	0	0	0	60	0	15	0	0	220	No	Data missing	Usual Amount	 	 	Usual Amount	 	4	 
900101171	9	Friday	69	2	England	13.2	0	0	14.8	0	225.86	0	3.5	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	60	0	30	0	0	0	0	0	10	0	0	0	0	150	0	10	185	0	242	0	0	0	0	0	0	18	2018	0	20	0	0	40	0	81	1	0	0	0	0	0	10	0	7.5	284.08	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101171	9	Saturday	69	2	England	0	0	0	24	0	27.32	0	0	30	0	0	0	0	0	0	0	142	0	25	0	0	0	0	0	0	117	0	0	30	0	0	0	125	0	0	0	0	0	0	155	0	334	0	0	0	150	50	0	0	1666	61.8	0	0	0	0	0	80	0	0	0	0	30	0	0	0	10	284.08	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101171	9	Sunday	69	2	England	0	0	0	44	38	21.77	114.54	9	80	0	0	0	0	0	0	62.02	70	200	25	0	0	0	0	0	12	0	0	0	30	0	0	0	0	0	0	0	0	0	0	91.7	0	353	0	0	0	0	0	0	0	1367	60	0	0	45	0	350	80	1	0	0	0	80	0	0	0	0	284.08	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101171	9	Monday	69	2	England	0	417.9	0	33.53	42.05	104.32	0	0	75	0	0	0	0	0	0	0	178	0	25	0	0	0	0	0	0	0	0	0	30	0	0	0	100	0	0	0	0	0	0	0	0	195	0	0	0	150	50	0	0	1592	0	0	0	0	163	0	80	0	45	0	0	30	0	0	0	0	0	No	No	Usual Amount	 	 	More Than Usual	 	4	Don't know
900101191	9	Thursday	66	1	England	0	265.32	1007	30.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.5	0	180	0	0	0	0	12.5	129	40	0	0	0	0	0	0	0	800	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.5	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101191	9	Friday	66	1	England	55.75	0	1134	30.3	0	0	0	0	0	0	0	0	0	0	0	125.5	0	0	0	0	95.14	0	0	0	0	0	0	0	0	0	0	0	168.62	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	2100	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101191	9	Saturday	66	1	England	76.18	350	0	30.3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	1600	85	90	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101191	9	Sunday	66	1	England	0	112	0	0	0	110	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9	0	0	80	0	80	0	0	0	0	40	0	0	0	0	0	0	0	650	109.8	0	0	0	0	525	0	0	0	0	0	0	0	0	0	30	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101201	9	Thursday	78	2	England	0	0	286	0	0	0	0	0	15.7	142	0	0	0	0	0	0	150	50	216	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	36	0	0	0	0	297	47	0	600	0	0	0	18.26	756	93	0	0	0	0	125	0	12	15.7	0	0	0	0	0	0	0	0	No	Yes	Usual Amount	 	 	More Than Usual	 	4	At a special occasion or on holiday
900101201	9	Friday	78	2	England	0	0	0	0	0	0	0	0	0	65.28	0	0	0	0	0	243.4	5.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3	0	0	0	10.81	0	0	0	0	0	40	20	0	0	0	0	0	13	1213	0	140.47	0	0	0	125	125	2	0	0	0	0	0	0	0	32.44	0	No	Yes	Usual Amount	 	 	Usual Amount	 	4	 
900101201	9	Saturday	78	2	England	0	0	286	14.8	40	110	0	0	0	36	0	0	0	0	40	0	235	50	216	0	0	0	10	0	0	0	0	0	0	0	0	13.3	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	10.26	1420	0	0	0	0	0	125	0	0	0	0	0	0	10	0	0	27	0	No	Yes	Usual Amount	 	 	More Than Usual	 	4	On a special day
900101201	9	Sunday	78	2	England	0	0	286	10.2	80	0	0	0	0	0	150	0	0	0	0	0	108.33	50	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	170	0	10	0	0	0	63	0	200	0	34.5	3	44.13	917	170	45	0	0	0	0	0	2	0	0	0	0	0	10	0	119	0	No	Yes	More Than Usual	 	At a special occasion or on holiday	More Than Usual	 	4	At a special occasion or on holiday
900102011	9	Thursday	34	2	England	0	0	0	0	0	0	0	0	0	18	0	0	300	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	40	0	0	0	86.4	0	0	0	0	0	0	45	316.5	72.8	0	0	0	3466	0	0	0	150	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102011	9	Friday	34	2	England	0	0	0	0	0	0	0	20	0	0	345	0	178	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	72.8	0	0	0	2660	0	0	0	480	0	80.6	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102011	9	Saturday	34	2	England	0	0	0	133.6	0	0	0	0	0	0	165	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	72.8	0	0	0	3136	0	0	0	150	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900102011	9	Sunday	34	2	England	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	60	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	300	0	80	0	0	0	7	0	0	0	0	0	0	2000	0	0	18	0	75.4501	65.8	0	0	0	0	0	0	0	0	0	0	0	7	0	120	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900102012	9	Thursday	4	2	England	0	0	0	0	0	0	0	0	30	0	0	20	0	0	0	0	200	150	0	0	0	0	0	0	0	0	0	0	16	0	0	0	234	0	0	0	0	0	0	0	211	58.24	0	0	0	0	0	0	0	800	0	0	0	0	189	0	0	0	30	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102012	9	Friday	4	2	England	0	0	0	0	0	0	0	0	0	50	36	0	90	0	0	0	200	150	0	105	0	0	0	0	0	0	0	0	29.9	0	0	0	144	0	0	0	0	0	0	68.5	0	58.24	0	0	0	0	0	0	0	160	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102012	9	Saturday	4	2	England	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	120	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	83.8	0	0	0	7	0	0	0	0	0	250	220	0	0	0	0	0	32.8	0	0	0	0	0	0	0	0	0	0	0	7	0	35.1	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900102012	9	Sunday	4	2	England	0	0	0	0	0	120	0	0	0	70	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	156	0	0	0	0	0	0	0	0	0	800	0	0	0	0	0	93.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900102031	9	Saturday	31	2	England	0	550	0	0	0	0	0	0	0	0	114	0	14	0	20	0	150	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	34	0	409.2	0	0	1720	0	0	0	0	500	0	70	0	0	0	0	125	0	0	0	0	0	0	0	0	82	0	Yes	No	Usual Amount	 	 	Usual Amount	 	3	 
900102031	9	Sunday	31	2	England	0	0	0	0	0	0	0	0	0	105	150	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	409.2	0	0	1466	0	0	0	0	1000	160	0	0	45	0	0	0	0	0	0	0	0	0	0	0	147	500	Yes	No	Usual Amount	 	 	Usual Amount	 	3	 
900102031	9	Monday	31	2	England	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	500	0	0	0	0	0	409.2	0	0	990	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	Yes	No	Usual Amount	 	 	Usual Amount	 	3	 
900102061	9	Friday	53	1	England	0	0	330	37.6	0	0	0	0	0	0	165	0	0	0	22	0	100	500	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	320	0	0	0	0	0	0	0	720	60	160.2	0	0	0	0	60	3	0	0	0	0	0	0	32	13.01	400	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900102061	9	Saturday	53	1	England	0	0	0	56.4	0	110	0	0	0	0	100	31.2	0	0	0	180	100	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	80	0	0	0	0	0	0	32	2160	415	72.2	0	0	0	0	0	4	0	0	0	0	0	0	14	.04	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900102061	9	Sunday	53	1	England	0	111	0	37.6	0	0	0	0	0	0	200	0	0	0	22	0	0	426	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	40	0	51	0	18	0	0	80	0	0	0	426	0	0	0	1220	190	72.2	0	0	0	0	0	4	0	0	0	0	0	0	18	123	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900102102	9	Wednesday	16	2	England	0	454.25457	0	0	0	84	0	0	70	0	0	6	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.3	0	0	0	0	0	18	0	0	0	330	330	0	0	0	330	0	28.7	0	0	0	0	200	0	30	0	0	40	0	0	0	.01	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102102	9	Thursday	16	2	England	91.2	0	0	0	0	42	0	0	69.2	0	164.6	60	0	0	0	0	0	0	0	0	0	0	0	137.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	25	0	200	0	0	0	0	0	0	69.2	0	0	0	0	0	0	158.5	0	No	No	Usual Amount	 	 	Less Than Usual	Not hungry/thirsty	3	 
900102102	9	Friday	16	2	England	0	0	0	0	0	0	0	0	30	160	0	0	112.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270.3	0	0	0	0	0	18	0	0	0	0	330	0	0	0	330	0	28.7	0	0	0	0	0	0	30	0	0	0	0	0	0	94	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102102	9	Saturday	16	2	England	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	330	192.8	0	0	0	0	0	0	0	210	0	0	0	0	330	0	0	0	330	74.8	0	0	80	0	0	0	0	0	0	0	0	0	0	0	108.32	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102111	9	Saturday	66	2	England	0	0	0	90	0	0	0	2.5	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	35	0	100	0	0	0	0	0	84	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	8	1672	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Data missing	No	Usual Amount	 	 	Usual Amount	 	3	 
900102111	9	Sunday	66	2	England	0	0	0	90	0	65	0	2.5	41.1	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	8	1948	530	0	0	0	0	0	0	0	0	0	0	41.1	0	0	0	0	0	Data missing	No	More Than Usual	 	At a special occasion or on holiday	Usual Amount	 	3	 
900102111	9	Monday	66	2	England	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	35	60	0	0	0	0	0	0	534	120	60	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	1672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	Data missing	Data missing	Usual Amount	 	 	Usual Amount	 	3	 
900102111	9	Tuesday	66	2	England	40	0	0	0	0	65	0	0	0	0	0	0	0	0	0	60	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1672	262	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	340.9090909	Data missing	No	Usual Amount	 	 	Usual Amount	 	3	 
900102171	9	Saturday	79	2	England	0	0	0	23.8	0	98	0	28	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	500	0	0	32	1850	0	45	180	79.9	0	0	100	0	0	0	0	0	0	0	0	20.04	300	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102171	9	Sunday	79	2	England	0	148	0	0	0	0	0	24	0	0	112.5	0	0	0	0	0	0	0	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	200	0	0	0	0	220.625	0	0	0	0	0	0	0	1240	170	0	0	80	0	175	0	0	0	0	0	0	0	0	0	35	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900102171	9	Monday	79	2	England	0	0	0	0	0	185	0	0	27	0	0	13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	32	1475	535	0	0	79.9	0	0	0	0	27	0	0	0	0	0	0	.02	0	No	No	Usual Amount	 	 	Usual Amount	 	3	 
900103011	9	Tuesday	38	1	England	0	131.79	0	0	0	0	0	0	0	131.89	0	0	0	0	0	57	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	201.5	0	0	0	0	1228	0	0	0	0	968	63.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	No	Usual Amount	 	 	Usual Amount	 	1	 
900103011	9	Wednesday	38	1	England	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	191	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	18	140.2	0	0	0	0	330	0	0	0	0	400	63.2	0	0	56.2	0	0	0	0	0	0	0	0	0	18	0	0	0	Yes	No	Usual Amount	 	 	Usual Amount	 	2	 
900103011	9	Thursday	38	1	England	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	127	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	165.1	0	0	0	0	898	0	0	0	0	400	63.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	No	Usual Amount	 	 	Usual Amount	 	2	 
900103011	9	Friday	38	1	England	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	185.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	Yes	No	Usual Amount	 	 	Usual Amount	 	2	 
900103012	9	Tuesday	6	1	England	0	0	0	35.6	0	49	0	0	31.4	0	0	0	0	0	25	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	30	512.5	150	76	0	76.16	0	0	55	0	31.4	0	0	0	0	18	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	1	 
900103012	9	Wednesday	6	1	England	43	0	0	15.75	0	110	0	0	0	0	0	0	0	0	25	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	86	0	15.75	23	0	0	0	0	0	0	0	0	30	420.5	0	57	0	66.64	0	0	55	0	0	0	0	0	0	15.75	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	2	 
900103012	9	Thursday	6	1	England	0	0	0	0	0	29	0	0	5	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	25.75	0	0	0	0	0	0	0	0	0	0	437.5	42	0	0	156.24	0	0	0	0	5	0	0	0	0	25.75	0	30	0	No	yn	Usual Amount	 	 	Usual Amount	 	2	 
900103012	9	Friday	6	1	England	22	0	0	75	0	0	0	0	5	0	75	0	0	0	0	0	0	0	0	52.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.75	0	0	0	0	0	0	0	0	0	0	421	42	0	57	106.64	0	0	0	0	5	0	0	0	0	22.75	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	2	 
900103042	9	Friday	13	2	England	0	0	0	25	0	118.75	0	14	5.2281	75	0	0	0	0	0	0	290	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	900	22.2	64.84	0	0	300	0	0	0	5.2281	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	1	 
